,precision,recall,f1-score,support
ALERT,0.9054054054054054,1.0,0.950354609929078,871.0
DROWSY,1.0,0.8956422018348624,0.9449485783424078,872.0
accuracy,0.9477911646586346,0.9477911646586346,0.9477911646586346,0.9477911646586346
macro avg,0.9527027027027026,0.9478211009174312,0.9476515941357428,1743.0
weighted avg,0.952729838272007,0.9477911646586346,0.9476500433521553,1743.0
