feature,alert_mean,alert_std,alert_median,drowsy_mean,drowsy_std,drowsy_median
EAR_LEFT,0.44558820524554654,0.05909108882759459,0.4544356763362884,0.205863468361393,0.08875337450142988,0.1936237066984176
EAR_RIGHT,0.43333889132724873,0.06519335055561104,0.4407447278499603,0.2246833984546642,0.0818409634431779,0.215482085943222
MEAN_EAR,0.4394635479871055,0.058542052424575296,0.4486190974712372,0.21527343360870602,0.07954081186960013,0.2070264369249344
MAR,0.12514539317582013,0.013339115235607818,0.1226809173822403,0.2616465202512365,0.25860418849417005,0.1250536292791366
YAW,6.185974698555123,13.230871502055178,9.624128341674805,3.519812662662681,10.1090592387695,4.548569679260254
PITCH,4.631837368795909,4.55224631532507,4.08399772644043,9.791864652141808,11.955853357694147,7.506148338317871
ROLL,-103.14905670394184,142.1480504239989,-177.8284454345703,-143.95891658066378,96.61493511413651,-174.21890258789062
PERCLOS,0.020469785383490438,0.047201914424886394,0.0,0.5261966639509723,0.340566345295583,0.4666666686534881
BLINK_RATE,4.196857652236956,6.215867650352003,0.0,26.34148300863645,18.782625045664872,23.211885452270508
EYE_CLOSURE_DURATION,0.003467851509786632,0.030790451485737797,0.0,0.8523262995441769,1.53407417552468,0.0333333350718021
MOUTH_OPEN_DURATION,0.0,0.0,0.0,0.26804887086721274,0.7701486556832695,0.0
HEAD_MOTION_MAGNITUDE,110.00249881600504,564.6406728902118,38.74054336547852,131.22342329588434,653.6794101418692,42.69864654541016
